case,region,dice_M2,iou_M2,hd95_voxel_M2,precision_M2,recall_M2,official_dice_M2,official_hd95_voxel_M2,dice_M3,iou_M3,hd95_voxel_M3,precision_M3,recall_M3,official_dice_M3,official_hd95_voxel_M3,dice_diff (M3-M2),hd95_diff (M3-M2),official_dice_diff (M3-M2)
case0001,normal_myocardium,0.8740715732613099,0.776311844077961,1.0,0.904928346731912,0.8452497551420176,0.8740715732613099,1.0,0.8650193309799966,0.7621445497630331,1.0,0.8915453915453916,0.8400261181847861,0.8650193309799966,1.0,-0.009052242281313294,0.0,-0.009052242281313294
case0001,edema,0.776657060518732,0.6348645465253239,1.4142135623730951,0.7082785808147175,0.8596491228070176,0.776657060518732,1.4142135623730951,0.8097705403404886,0.6803482587064676,1.0,0.755524861878453,0.8724082934609251,0.8097705403404886,1.0,0.03311347982175661,-0.41421356237309515,0.03311347982175661
case0001,scar,0.5583966827919834,0.3873441994247363,23.210971931921307,0.4503901895206243,0.7345454545454545,0.5583966827919834,23.210971931921307,0.5367913148371531,0.3668590272052762,30.00816151264751,0.4016245487364621,0.8090909090909091,0.5367913148371531,30.00816151264751,-0.021605367954830257,6.797189580726204,-0.021605367954830257
case0001,edema_inclusive,0.7837742504409171,0.644431554524362,3.625273711690682,0.6700844390832328,0.9439252336448598,0.7837742504409171,3.625273711690682,0.7570621468926554,0.6090909090909091,6.062071897723665,0.6217248908296943,0.967714528462192,0.7570621468926554,6.062071897723665,-0.0267121035482617,2.436798186032983,-0.0267121035482617
case0001,myocardial_ring,0.9231647448338852,0.8572943172179813,1.0,0.8946669617171941,0.9535377358490568,0.9231647448338852,1.0,0.9205179727617772,0.8527404343329886,1.0,0.8738872403560831,0.9724056603773584,0.9205179727617772,1.0,-0.002646772072108061,0.0,-0.002646772072108061
case0006,normal_myocardium,0.6269711799891245,0.4566336633663366,7.874007874011811,0.8788109756097561,0.4873203719357565,0.6269711799891245,7.874007874011811,0.685948297926798,0.5220101285547332,4.358898943540674,0.8695652173913043,0.5663567202028741,0.685948297926798,4.358898943540674,0.05897711793767346,-3.515108930471137,0.05897711793767346
case0006,edema,0.6621113768363512,0.4948927477017364,20.198918757789183,0.5105374077976818,0.9416909620991254,0.6621113768363512,20.198918757789183,0.7002574475910261,0.5387662705149971,18.927214991720604,0.5633136094674556,0.9251700680272108,0.7002574475910261,18.927214991720604,0.03814607075467491,-1.2717037660685797,0.03814607075467491
case0006,scar,0.1279896574014221,0.0683701657458563,32.11073872529987,0.0763888888888889,0.3944223107569721,0.1279896574014221,32.11073872529987,0.1298882681564245,0.0694548170276325,29.54905292959265,0.0787468247248094,0.3705179282868526,0.1298882681564245,29.54905292959265,0.0018986107550024167,-2.5616857957072163,0.0018986107550024167
case0006,edema_inclusive,0.5413500223513634,0.3711308611707018,26.645825188948457,0.3791484032561052,0.94609375,0.5413500223513634,26.645825188948457,0.5699831365935919,0.3985849056603773,23.702311552956136,0.4120515499825845,0.92421875,0.5699831365935919,23.702311552956136,0.028633114242228475,-2.9435136359923213,0.028633114242228475
case0006,myocardial_ring,0.8473994111874387,0.7352064708386548,1.0,0.7665335108743897,0.9473395501919912,0.8473994111874387,1.0,0.8473566641846612,0.7351421188630491,1.0,0.7737987307343608,0.936368623148656,0.8473566641846612,1.0,-4.274700277751009e-05,0.0,-4.274700277751009e-05
case0011,normal_myocardium,0.8581314878892734,0.7515151515151515,1.0,0.8253968253968254,0.893569844789357,0.8581314878892734,1.0,0.7950089126559715,0.6597633136094675,2.0,0.7352802637776731,0.86529933481153,0.7950089126559715,2.0,-0.06312257523330189,1.0,-0.06312257523330189
case0011,edema,0.4254062038404727,0.2701688555347092,10.816653826391969,0.7728085867620751,0.2934782608695652,0.4254062038404727,10.816653826391969,0.5542275343072156,0.3833435394978567,7.280109889280518,0.795425667090216,0.4252717391304347,0.5542275343072156,7.280109889280518,0.12882133046674293,-3.5365439371114507,0.12882133046674293
case0011,scar,0.2441195168467895,0.1390296886314265,4.47213595499958,0.1550888529886914,0.573134328358209,0.2441195168467895,4.47213595499958,0.2619760479041916,0.1507321274763135,5.477225575051661,0.1748251748251748,0.5223880597014925,0.2619760479041916,5.477225575051661,0.017856531057402092,1.0050896200520816,0.017856531057402092
case0011,edema_inclusive,0.8618201997780244,0.7571916138469039,1.0,0.864218141346689,0.8594355285002767,0.8618201997780244,1.0,0.7432545201668985,0.5914121292607348,1.7320508075688772,0.7472035794183445,0.7393469839513005,0.7432545201668985,1.7320508075688772,-0.11856567961112585,0.7320508075688772,-0.11856567961112585
case0011,myocardial_ring,0.887651134356745,0.7979970688812897,1.0,0.8712,0.90473553032401,0.887651134356745,1.0,0.8721084817867588,0.7732201791607732,1.0,0.8386601892099207,0.9083356410966492,0.8721084817867588,1.0,-0.015542652569986215,0.0,-0.015542652569986215
case0016,normal_myocardium,0.626123013130615,0.4557344064386318,2.23606797749979,0.5960526315789474,0.6593886462882096,0.626123013130615,2.23606797749979,0.6016371077762619,0.4302439024390244,9.06760463928179,0.5661103979460848,0.6419213973799127,0.6016371077762619,9.06760463928179,-0.024485905354353132,6.831536661782,-0.024485905354353132
case0016,edema,0.7631578947368421,0.6170212765957447,2.0,0.7573248407643313,0.7690815006468306,0.7631578947368421,2.0,0.767022696929239,0.6220898754737412,2.0,0.7924137931034483,0.7432082794307892,0.767022696929239,2.0,0.003864802192396821,0.0,0.003864802192396821
case0016,scar,0.5686160972785177,0.3972491909385113,6.4031242374328485,0.5201271186440678,0.6270753512132823,0.5686160972785177,6.4031242374328485,0.5089234312032239,0.3413127413127413,4.58257569495584,0.4633123689727463,0.5644955300127714,0.5089234312032239,4.58257569495584,-0.05969266607529378,-1.8205485424770087,-0.05969266607529378
