epoch,global_step,lr_start,lr_next,best_val_dice,best_epoch,bad_epochs,early_stop,epoch_compute_seconds,train/loss,train/ce,train/dice_loss,train/dice/background,train/dice/normal_myocardium,train/dice/edema,train/dice/scar,train/mean_dice,train/iou/background,train/iou/normal_myocardium,train/iou/edema,train/iou/scar,train/mean_iou,train/pixel_accuracy,train/seconds,train/samples_per_second,train/samples,train/gpu_peak_allocated_mb,train/gpu_peak_reserved_mb,train/grad_norm,train/amp_skipped_steps,train/optimizer_updates,train/amp_scale,val/loss,val/ce,val/dice_loss,val/dice/background,val/dice/normal_myocardium,val/dice/edema,val/dice/scar,val/mean_dice,val/iou/background,val/iou/normal_myocardium,val/iou/edema,val/iou/scar,val/mean_iou,val/pixel_accuracy,val/seconds,val/samples_per_second,val/samples,val/gpu_peak_allocated_mb,val/gpu_peak_reserved_mb,val/avg_pathology_dice,val/patient_dice/scar,val/defined_cases/scar,val/undefined_cases/scar,val/patient_dice/edema,val/defined_cases/edema,val/undefined_cases/edema,checkpoint_seconds,epoch_seconds
1,99,0.0003,0.00029909984981634516,0.4157218532416706,1,0,False,38.4513945169997,0.4656431963537431,0.4354505061876638,0.4958358879929411,0.967671211238013,0.6078530842575366,0.38845504698688027,0.13235841467660794,0.3762221819736749,0.9373672630000817,0.43662998307427553,0.24104512024972213,0.07086928012137264,0.24951479448179006,0.9213365136594978,30.860879660000137,51.13269671458202,1578,3125.31201171875,3196.0,1.0936197159868297,0,99,1.0,0.2763653518584779,0.16333900664360995,0.3893916938208081,0.9869479208377985,0.7340276558285717,0.6573762548539217,0.21001061946902655,0.5338048433838399,0.9742321654914412,0.5798133420592126,0.4896206083279115,0.11732506446866743,0.39558633828526385,0.9622652470157836,1.9034000750002633,206.99799541614786,394,1129.69140625,3196.0,0.4157218532416706,0.20951596614482804,61,0,0.6219277403385132,61,0,2.0787114879999535,40.53514599399978
2,198,0.00029909984981634516,0.00029819939852817863,0.45015479038076867,2,0,False,33.64655110600006,0.25343966306540144,0.13628120858255297,0.37059811830369543,0.9871366459782294,0.7244380766038467,0.653155120137199,0.3210203185939573,0.5662045051116676,0.9746000208800245,0.5679364234039281,0.48495200145374867,0.19119964473013898,0.4146960231959386,0.9609721948891992,26.546230214999923,59.4434685158555,1578,3125.45458984375,3196.0,0.5123599376341309,0,99,1.0,0.25161077604075976,0.14194086840763914,0.3612806813668479,0.984913838916436,0.7181797702185176,0.6518769535738115,0.28992524208519393,0.5533273219591743,0.970276097415297,0.5602811950790861,0.48354410623118343,0.1695395132542139,0.4044549381881612,0.9542843581456218,1.923326508000173,204.85341327181698,394,1129.69140625,3196.0,0.45015479038076867,0.2805458007754814,61,0,0.6197637799860559,61,0,3.0598391309999897,36.71222555500026
3,297,0.00029819939852817863,0.00029729864502385023,0.4774637811158001,3,0,False,33.47740582999995,0.2321718212769512,0.11173039502895075,0.35261324788378823,0.9880784796304873,0.7358606301513008,0.6790443547877116,0.3605183827533233,0.5918077892307786,0.9764378558424979,0.5821040367086847,0.5140553789590594,0.2198977890089265,0.4386857348922235,0.9629397084051212,26.342251087000022,59.90376429062084,1578,3125.45458984375,3196.0,0.47296765807903174,0,99,1.0,0.23200007168774678,0.10498920559580556,0.3590109370989243,0.988757008384556,0.755692077332981,0.6867059603734641,0.29622437116888606,0.5795408029584438,0.977764015753556,0.6073191880939319,0.5228882029867006,0.17386348657429304,0.4346902925516418,0.9661584844444003,1.9849868129999777,198.4899836208657,394,1129.69140625,3196.0,0.4774637811158001,0.29560937397901443,61,0,0.6593181882525858,61,0,3.308629312999983,36.79153365000002
4,396,0.00029729864502385023,0.0002963975881838481,0.5114026794144384,4,0,False,33.63310345400032,0.22469965807611952,0.10387274638026084,0.34552656931871095,0.9884550387018353,0.742438402614846,0.6866866994205525,0.37690611024204884,0.6020104040924824,0.9771736072248365,0.5903793533124716,0.5228658684242207,0.2322146073128623,0.4484866096831848,0.9639635750851553,26.46075550500018,59.63548545323326,1578,3125.45458984375,3196.0,0.45578630885692556,0,99,1.0,0.22595969704807106,0.10421296568388866,0.34770642803405144,0.9886759077699637,0.7185821697099892,0.7038637528046217,0.34529843893480255,0.5892481204831378,0.9776054138983955,0.5607711651299245,0.5430476574724802,0.2086771699861818,0.43749866419619554,0.9631648184684327,1.9610403019996738,200.91376989969967,394,1129.69140625,3196.0,0.5114026794144384,0.3407981634700489,61,0,0.6820071953588279,61,0,3.289878759000203,36.92826891100003
5,495,0.0002963975881838481,0.00029549622688071654,0.5114026794144384,4,1,False,33.723509141999784,0.21756707422709132,0.09755752789014797,0.33757661961028484,0.988884325301026,0.750415495956249,0.6984154491202564,0.38981768564113994,0.6128828769058818,0.9780130503816324,0.6005320116629543,0.5365886132008835,0.24209537153956195,0.45973866546779996,0.9649283405492515,26.552682401999846,59.429024010062015,1578,3125.45458984375,3196.0,0.4295957518948449,0,99,1.0,0.22929437632488114,0.10149934305454873,0.3570894128477513,0.9888974012461481,0.7520035863280392,0.612932211601991,0.3698258903801798,0.5782538961034033,0.9780386307630197,0.6025687078021568,0.441890595923863,0.22686281679840228,0.42377404017480735,0.9638066170784423,2.0546974720000435,191.75572334572456,394,1129.69140625,3196.0,0.4765896894580117,0.36703390170532463,61,0,0.5861454772106988,61,0,1.5655330390000017,35.29491210199967
6,594,0.00029549622688071654,0.00029459455997897255,0.5203890609825776,6,0,False,33.64714222399971,0.2123962652849456,0.09325766647458832,0.33153486535123095,0.9892618261772907,0.7542343847356097,0.7095336161228302,0.40284182287164616,0.6222032745766953,0.9787518190154105,0.6054384352031884,0.5498272756172512,0.2522241244733472,0.46916327843126227,0.9660584579100325,26.552435551000144,59.429576506045294,1578,3125.45458984375,3196.0,0.4242029476045358,0,99,1.0,0.21666097603171006,0.10071463016840407,0.33260732147899374,0.9883008112432093,0.7499965091112197,0.7032907297856849,0.3797689432249039,0.6110187273739361,0.9768721989958953,0.59999553167484,0.5423657761538541,0.23439184284048661,0.4589177168897269,0.9632114468492227,1.9325064189997647,203.8803059727627,394,1129.69140625,3196.0,0.5203890609825776,0.3639012007503894,61,0,0.6768769212147658,61,0,3.004282160999992,36.65719324499969
7,693,0.00029459455997897255,0.0002936925863350211,0.5343773998193244,7,0,False,33.604644101000304,0.2112800620203538,0.09198135551164359,0.3305787680569106,0.9891848877386721,0.7562760416184914,0.7098600187834221,0.4128982688878306,0.6263447764299147,0.9786012058384582,0.6080738708311559,0.5502193786088524,0.2601586658206781,0.4728173050868954,0.9661558124653438,26.54569613900003,59.444664466028314,1578,3125.45458984375,3196.0,0.4290508504467781,0,99,1.0,0.2109128250385904,0.09347634191440447,0.32834930695252973,0.989546143498813,0.7639785607984871,0.715170099931455,0.38247522539304074,0.6205412953743277,0.9793085920075861,0.6180949104669479,0.5566262895137333,0.23645710495283018,0.47039276831117044,0.966382176742941,1.9069642790000216,206.61110663625362,394,1129.69140625,3196.0,0.5343773998193244,0.3749961679607553,61,0,0.6937586316778936,61,0,2.9940947889999734,36.60456261099989
8,792,0.0002936925863350211,0.0002927903047970692,0.5343773998193244,7,1,False,33.91453646500031,0.207450884112236,0.08926162602443659,0.3256401421528201,0.9895579255081447,0.760455784237204,0.7162751084480258,0.42136779073432085,0.6326995611398502,0.9793316712447737,0.6134962953049894,0.5579662069044067,0.2669195448193252,0.47946068234290706,0.9669233546964116,26.674474736999855,59.157678475714256,1578,3125.45458984375,3196.0,0.3961978182949201,0,99,1.0,0.22322889050553898,0.09788630789306563,0.3485714716052041,0.9892795828363391,0.7565899333935354,0.6768734002756448,0.349113422658977,0.5941922521093858,0.978786582359254,0.6084798199024022,0.5115711530677841,0.21147026540204328,0.44384041279074316,0.9659950527442893,2.024089102999824,194.65546226006944,394,1129.69140625,3196.0,0.5012829208609335,0.34746720236043666,61,0,0.6550986393614304,61,0,1.4951863659998708,35.41514749299995
9,891,0.0002927903047970692,0.00029188771420503914,0.5343773998193244,7,2,False,33.840694946999974,0.20490367856013608,0.08753734235905573,0.32227001455346893,0.9896298343319987,0.7625547193636429,0.7242223426125056,0.42554192977708855,0.6374396639177458,0.9794725418062099,0.6162330822187941,0.5676712853676635,0.270278350262348,0.4847275726162686,0.967298423080541,26.727932676000364,59.03935852909878,1578,3125.45458984375,3196.0,0.4015916305961031,0,99,1.0,0.22215164199395834,0.0956501290769444,0.34865315674525227,0.9894424252785745,0.7531394215742154,0.6526890370513885,0.40119706859580084,0.6023418424071348,0.9791054463683856,0.6040285775375835,0.48443830340619215,0.25093591005830646,0.446467597000694,0.9656178430857392,1.9324188909999975,203.88954063480045,394,1129.69140625,3196.0,0.5027348589564216,0.38006417945887855,61,0,0.6254055384539645,61,0,1.491239885000141,35.33781178499976
10,990,0.00029188771420503914,0.00029098481339047985,0.5472764290113059,10,0,False,33.84016662300019,0.20415952431536144,0.08645310829876343,0.3218659408796574,0.9897423944268026,0.7659531189341311,0.7228271171118629,0.4307383996681755,0.6398395452380565,0.9796930891356616,0.6206839713192771,0.5659587098946984,0.27448476377494657,0.487042481662974,0.967507559385892,26.732209970999975,59.0299119194361,1578,3125.45458984375,3196.0,0.3974508092258916,0,99,1.0,0.2057632366715349,0.09023929593451133,0.3212871795075799,0.9895687525043408,0.764029171566554,0.7231868402863405,0.40470729499392594,0.6306411022822734,0.9793528802251259,0.618161168524452,0.566399895540334,0.25368842578164047,0.4794164966154755,0.9664534360624207,1.9559158549996027,201.44015857986898,394,1129.69140625,3196.0,0.5472764290113059,0.3936764795401091,61,0,0.7008763784825026,61,0,2.9704586069997276,36.81641886300031
