case,region,dice,iou,hd95,asd,status,precision,recall,prediction_voxels,target_voxels,hd95_unit,hd95_voxel,asd_voxel,official_dice,official_hd95_voxel,inference_seconds
case0001,normal_myocardium,0.8740715732613099,0.776311844077961,1.0,0.17896621265824159,ok,0.9049283467319119,0.8452497551420176,2861,3063,voxel,1.0,0.17896621265824159,0.8740715732613099,1.0,0.74657191300048
case0001,edema,0.776657060518732,0.6348645465253239,1.4142135623730951,0.3166183622753949,ok,0.7082785808147175,0.8596491228070176,761,627,voxel,1.4142135623730951,0.3166183622753949,0.776657060518732,1.4142135623730951,0.74657191300048
case0001,scar,0.5583966827919834,0.38734419942473636,23.210971931921307,3.4190673872504553,ok,0.4503901895206243,0.7345454545454545,897,550,voxel,23.210971931921307,3.4190673872504553,0.5583966827919834,23.210971931921307,0.74657191300048
case0001,edema_inclusive,0.7837742504409171,0.644431554524362,3.625273711690682,0.7458840783293996,ok,0.6700844390832328,0.9439252336448598,1658,1177,voxel,3.625273711690682,0.7458840783293996,0.7837742504409171,3.625273711690682,0.74657191300048
case0001,myocardial_ring,0.9231647448338851,0.8572943172179813,1.0,0.09743648735897359,ok,0.8946669617171941,0.9535377358490567,4519,4240,voxel,1.0,0.09743648735897359,0.9231647448338851,1.0,0.74657191300048
case0006,normal_myocardium,0.6269711799891245,0.45663366336633665,7.874007874011811,1.6139464947615634,ok,0.8788109756097561,0.48732037193575656,1312,2366,voxel,7.874007874011811,1.6139464947615634,0.6269711799891245,7.874007874011811,0.05558284000017011
case0006,edema,0.6621113768363512,0.49489274770173647,20.198918757789183,2.4717888162188673,ok,0.5105374077976818,0.9416909620991254,1898,1029,voxel,20.198918757789183,2.4717888162188673,0.6621113768363512,20.198918757789183,0.05558284000017011
case0006,scar,0.1279896574014221,0.06837016574585636,32.11073872529987,10.78202116284693,ok,0.0763888888888889,0.3944223107569721,1296,251,voxel,32.11073872529987,10.78202116284693,0.1279896574014221,32.11073872529987,0.05558284000017011
case0006,edema_inclusive,0.5413500223513634,0.3711308611707018,26.645825188948457,4.866155738277528,ok,0.3791484032561052,0.94609375,3194,1280,voxel,26.645825188948457,4.866155738277528,0.5413500223513634,26.645825188948457,0.05558284000017011
case0006,myocardial_ring,0.8473994111874387,0.7352064708386548,1.0,0.21617385493806934,ok,0.7665335108743897,0.9473395501919912,4506,3646,voxel,1.0,0.21617385493806934,0.8473994111874387,1.0,0.05558284000017011
case0011,normal_myocardium,0.8581314878892734,0.7515151515151515,1.0,0.20936289921259946,ok,0.8253968253968254,0.893569844789357,1953,1804,voxel,1.0,0.20936289921259946,0.8581314878892734,1.0,0.055856752000181586
