case,region,dice,iou,hd95,asd,status,precision,recall,prediction_voxels,target_voxels,hd95_unit,hd95_voxel,asd_voxel,official_dice,official_hd95_voxel,inference_seconds
case0001,normal_myocardium,0.8650193309799966,0.7621445497630331,1.0,0.19902403179868344,ok,0.8915453915453916,0.8400261181847861,2886,3063,voxel,1.0,0.19902403179868344,0.8650193309799966,1.0,0.9160965329999726
case0001,edema,0.8097705403404886,0.6803482587064676,1.0,0.26280706123324155,ok,0.755524861878453,0.8724082934609251,724,627,voxel,1.0,0.26280706123324155,0.8097705403404886,1.0,0.9160965329999726
case0001,scar,0.5367913148371531,0.3668590272052762,30.00816151264751,4.60713094248376,ok,0.4016245487364621,0.8090909090909091,1108,550,voxel,30.00816151264751,4.60713094248376,0.5367913148371531,30.00816151264751,0.9160965329999726
case0001,edema_inclusive,0.7570621468926554,0.6090909090909091,6.062071897723665,0.9122142983383363,ok,0.6217248908296943,0.967714528462192,1832,1177,voxel,6.062071897723665,0.9122142983383363,0.7570621468926554,6.062071897723665,0.9160965329999726
case0001,myocardial_ring,0.9205179727617772,0.8527404343329886,1.0,0.09839090905528698,ok,0.8738872403560831,0.9724056603773585,4718,4240,voxel,1.0,0.09839090905528698,0.9205179727617772,1.0,0.9160965329999726
case0006,normal_myocardium,0.685948297926798,0.5220101285547332,4.358898943540674,0.8024292218451777,ok,0.8695652173913043,0.5663567202028741,1541,2366,voxel,4.358898943540674,0.8024292218451777,0.685948297926798,4.358898943540674,0.13140293400010705
case0006,edema,0.7002574475910261,0.5387662705149971,18.927214991720604,2.1670964184825023,ok,0.5633136094674556,0.9251700680272109,1690,1029,voxel,18.927214991720604,2.1670964184825023,0.7002574475910261,18.927214991720604,0.13140293400010705
case0006,scar,0.12988826815642457,0.06945481702763256,29.549052929592655,9.086164348835009,ok,0.07874682472480948,0.3705179282868526,1181,251,voxel,29.549052929592655,9.086164348835009,0.12988826815642457,29.549052929592655,0.13140293400010705
case0006,edema_inclusive,0.5699831365935919,0.39858490566037735,23.702311552956136,4.150863992316472,ok,0.4120515499825845,0.92421875,2871,1280,voxel,23.702311552956136,4.150863992316472,0.5699831365935919,23.702311552956136,0.13140293400010705
case0006,myocardial_ring,0.8473566641846612,0.7351421188630491,1.0,0.2067427764964976,ok,0.7737987307343608,0.9363686231486561,4412,3646,voxel,1.0,0.2067427764964976,0.8473566641846612,1.0,0.13140293400010705
case0011,normal_myocardium,0.7950089126559715,0.6597633136094675,2.0,0.36480414806830147,ok,0.7352802637776731,0.86529933481153,2123,1804,voxel,2.0,0.36480414806830147,0.7950089126559715,2.0,0.09850214800007961
case0011,edema,0.5542275343072156,0.3833435394978567,7.280109889280518,1.35931929061578,ok,0.795425667090216,0.42527173913043476,787,1472,voxel,7.280109889280518,1.35931929061578,0.5542275343072156,7.280109889280518,0.09850214800007961
case0011,scar,0.2619760479041916,0.1507321274763135,5.477225575051661,2.018385292087584,ok,0.17482517482517482,0.5223880597014925,1001,335,voxel,5.477225575051661,2.018385292087584,0.2619760479041916,5.477225575051661,0.09850214800007961
case0011,edema_inclusive,0.7432545201668985,0.5914121292607348,1.7320508075688772,0.3757870449105888,ok,0.7472035794183445,0.7393469839513005,1788,1807,voxel,1.7320508075688772,0.3757870449105888,0.7432545201668985,1.7320508075688772,0.09850214800007961
case0011,myocardial_ring,0.8721084817867588,0.7732201791607732,1.0,0.17224460127331437,ok,0.8386601892099207,0.9083356410966491,3911,3611,voxel,1.0,0.17224460127331437,0.8721084817867588,1.0,0.09850214800007961
case0016,normal_myocardium,0.6016371077762619,0.4302439024390244,9.06760463928179,1.5624785102317058,ok,0.5661103979460848,0.6419213973799127,779,687,voxel,9.06760463928179,1.5624785102317058,0.6016371077762619,9.06760463928179,0.09224147700001595
case0016,edema,0.767022696929239,0.6220898754737412,2.0,0.3985108930860503,ok,0.7924137931034483,0.7432082794307892,1450,1546,voxel,2.0,0.3985108930860503,0.767022696929239,2.0,0.09224147700001595
case0016,scar,0.5089234312032239,0.3413127413127413,4.58257569495584,1.2407106848246352,ok,0.46331236897274636,0.5644955300127714,954,783,voxel,4.58257569495584,1.2407106848246352,0.5089234312032239,4.58257569495584,0.09224147700001595
case0016,edema_inclusive,0.8020283118529474,0.6694885361552029,2.0,0.46380528917413316,ok,0.7895174708818635,0.8149420352082439,2404,2329,voxel,2.0,0.46380528917413316,0.8020283118529474,2.0,0.09224147700001595
case0016,myocardial_ring,0.8362639135344411,0.7186027169392847,1.4142135623730951,0.23413296716389287,ok,0.8143261074458058,0.8594164456233422,3183,3016,voxel,1.4142135623730951,0.23413296716389287,0.8362639135344411,1.4142135623730951,0.09224147700001595
case0021,normal_myocardium,0.8399230604830092,0.7240235814296242,1.0,0.2292057907821749,ok,0.8510177566045908,0.8291139240506329,2309,2370,voxel,1.0,0.2292057907821749,0.8399230604830092,1.0,0.09467249499994068
case0021,edema,0.6019766397124887,0.4305912596401028,8.378086867446248,1.498844969800226,ok,0.49777117384843983,0.7613636363636364,673,440,voxel,8.378086867446248,1.498844969800226,0.6019766397124887,8.378086867446248,0.09467249499994068
case0021,scar,0.5504587155963303,0.379746835443038,3.1622776601683795,0.8570807277159211,ok,0.43636363636363634,0.7453416149068323,275,161,voxel,3.1622776601683795,0.8570807277159211,0.5504587155963303,3.1622776601683795,0.09467249499994068
case0021,edema_inclusive,0.723047127178825,0.5662285136501517,6.6332495807108,1.0176447444629397,ok,0.5907172995780591,0.9317803660565723,948,601,voxel,6.6332495807108,1.0176447444629397,0.723047127178825,6.6332495807108,0.09467249499994068
case0021,myocardial_ring,0.9145793192035967,0.842603550295858,1.0,0.10796256723508486,ok,0.8744243168560024,0.9585997980477954,3257,2971,voxel,1.0,0.10796256723508486,0.9145793192035967,1.0,0.09467249499994068
case0026,normal_myocardium,0.71796587487454,0.5600208768267223,2.03541019662499,0.4790414008649867,ok,0.7736121124729632,0.6697877652933832,1387,1602,voxel,2.03541019662499,0.4790414008649867,0.71796587487454,2.03541019662499,0.10753153699988616
case0026,edema,0.694488188976378,0.5319662243667069,6.367768224739605,1.145685863304255,ok,0.6869158878504673,0.7022292993630573,642,628,voxel,6.367768224739605,1.145685863304255,0.694488188976378,6.367768224739605,0.10753153699988616
case0026,scar,0.637765735723218,0.46817625458996326,3.3166247903554,0.7461747647473778,ok,0.6873315363881402,0.5948678071539658,1113,1286,voxel,3.3166247903554,0.7461747647473778,0.637765735723218,3.3166247903554,0.10753153699988616
case0026,edema_inclusive,0.7598800763150723,0.6127472527472527,2.8284271247461903,0.48554496610291603,ok,0.7943019943019943,0.7283176593521421,1755,1914,voxel,2.8284271247461903,0.48554496610291603,0.7598800763150723,2.8284271247461903,0.10753153699988616
case0026,myocardial_ring,0.8663262240913188,0.7641759406465288,1.0,0.19878289089742976,ok,0.9178866963717377,0.820250284414107,3142,3516,voxel,1.0,0.19878289089742976,0.8663262240913188,1.0,0.10753153699988616
case0031,normal_myocardium,0.7168383434937986,0.5586500655307994,6.082762530298219,1.0672505860605528,ok,0.6641994546162836,0.7785388127853882,2567,2190,voxel,6.082762530298219,1.0672505860605528,0.7168383434937986,6.082762530298219,0.10306971899990458
case0031,edema,0.516075845012366,0.3477777777777778,11.694000880462369,2.474549569729458,ok,0.6089494163424124,0.44778254649499283,1028,1398,voxel,11.694000880462369,2.474549569729458,0.516075845012366,11.694000880462369,0.10306971899990458
case0031,scar,0.27300748568912375,0.1580826109127996,11.224972160321824,3.339024262890787,ok,0.297790585975024,0.25203252032520324,1041,1230,voxel,11.224972160321824,3.339024262890787,0.27300748568912375,11.224972160321824,0.10306971899990458
case0031,edema_inclusive,0.5965509899936129,0.4250606796116505,7.0710678118654755,1.298695079279612,ok,0.6771387143547608,0.5331050228310502,2069,2628,voxel,7.0710678118654755,1.298695079279612,0.5965509899936129,7.0710678118654755,0.10306971899990458
case0031,myocardial_ring,0.8756082081658557,0.7787394167450612,1.0,0.20953930155954195,ok,0.892795513373598,0.8590701535907015,4636,4818,voxel,1.0,0.20953930155954195,0.8756082081658557,1.0,0.10306971899990458
case0036,normal_myocardium,0.8832186341979884,0.7908608266970042,1.0,0.20538798455024235,ok,0.8482814724425463,0.9211572438162544,4917,4528,voxel,1.0,0.20538798455024235,0.8832186341979884,1.0,0.15931195500002104
case0036,edema,0.7027027027027027,0.5416666666666666,3.7416573867739413,0.619373545953394,ok,0.6109660574412533,0.8268551236749117,383,283,voxel,3.7416573867739413,0.619373545953394,0.7027027027027027,3.7416573867739413,0.15931195500002104
case0036,scar,0.6296296296296297,0.4594594594594595,2.0,0.5301685885052083,ok,0.5743243243243243,0.6967213114754098,148,122,voxel,2.0,0.5301685885052083,0.6296296296296297,2.0,0.15931195500002104
case0036,edema_inclusive,0.7927350427350427,0.6566371681415929,3.040569415042095,0.44303517862161723,ok,0.6986817325800376,0.9160493827160494,531,405,voxel,3.040569415042095,0.44303517862161723,0.7927350427350427,3.040569415042095,0.15931195500002104
case0036,myocardial_ring,0.8952894711492149,0.8104290198814091,1.0,0.2086632555218766,ok,0.8529735682819384,0.9420231096695723,5448,4933,voxel,1.0,0.2086632555218766,0.8952894711492149,1.0,0.15931195500002104
case0041,normal_myocardium,0.6803854319777887,0.5155940594059406,4.47213595499958,0.8192763967721033,ok,0.8171832091016085,0.5828203693340794,2549,3574,voxel,4.47213595499958,0.8192763967721033,0.6803854319777887,4.47213595499958,0.18460592399992493
case0041,edema,0.5100420364315741,0.34231974921630093,8.102415174917844,1.5630362056517444,ok,0.4745762711864407,0.5512367491166078,2301,1981,voxel,8.102415174917844,1.5630362056517444,0.5100420364315741,8.102415174917844,0.18460592399992493
case0041,scar,0.37972901636459616,0.2343614248479583,4.0,1.2700819385674533,ok,0.31148960739030024,0.48625506985128436,3464,2219,voxel,4.0,1.2700819385674533,0.37972901636459616,4.0,0.18460592399992493
case0041,edema_inclusive,0.6799799297541395,0.5151284780294967,2.0,0.6003233880947604,ok,0.5876843018213357,0.8066666666666666,5765,4200,voxel,2.0,0.6003233880947604,0.6799799297541395,2.0,0.18460592399992493
case0041,myocardial_ring,0.8529338637493784,0.743578627939742,1.0,0.2701086895462865,ok,0.8252345441424104,0.8825572420890146,8314,7774,voxel,1.0,0.2701086895462865,0.8529338637493784,1.0,0.18460592399992493
case0046,normal_myocardium,0.7993705743509048,0.6657929226736566,1.7320508075688772,0.3572091080358089,ok,0.7696969696969697,0.8314238952536824,2640,2444,voxel,1.7320508075688772,0.3572091080358089,0.7993705743509048,1.7320508075688772,0.15919850799991764
case0046,edema,0.7588526912181303,0.6114122681883024,1.4142135623730951,0.40441827557071175,ok,0.7382018601446779,0.7806921675774134,2903,2745,voxel,1.4142135623730951,0.40441827557071175,0.7588526912181303,1.4142135623730951,0.15919850799991764
case0046,scar,0.35390334572490706,0.21499548328816623,3.0,1.0703747447714296,ok,0.3581640331075997,0.34974283614988977,1329,1361,voxel,3.0,1.0703747447714296,0.35390334572490706,3.0,0.15919850799991764
case0046,edema_inclusive,0.832094027344687,0.7124666255904704,1.0,0.32221628851393,ok,0.8197069943289225,0.8448611787627862,4232,4106,voxel,1.0,0.32221628851393,0.832094027344687,1.0,0.15919850799991764
case0046,myocardial_ring,0.8690210102816271,0.7683794466403162,1.0,0.21223956969807323,ok,0.8486612339930152,0.890381679389313,6872,6550,voxel,1.0,0.21223956969807323,0.8690210102816271,1.0,0.15919850799991764
case0051,normal_myocardium,0.792517394775864,0.6563385603627433,2.0,0.46160437939392585,ok,0.842590346834829,0.748062015503876,4123,4644,voxel,2.0,0.46160437939392585,0.792517394775864,2.0,0.20914525399984996
case0051,edema,0.7486585710251341,0.5982848115549537,12.010398644698075,1.843864950941895,ok,0.7059920106524634,0.7968139464983469,3755,3327,voxel,12.010398644698075,1.843864950941895,0.7486585710251341,12.010398644698075,0.20914525399984996
case0051,scar,0.45172824791418353,0.29176289453425713,6.4031242374328485,1.3764232755295374,ok,0.4623830825538837,0.44155339805825244,2459,2575,voxel,6.4031242374328485,1.3764232755295374,0.45172824791418353,6.4031242374328485,0.20914525399984996
case0051,edema_inclusive,0.7953119841531858,0.6601808714716361,7.280109889280518,1.114000805505323,ok,0.7753459929192147,0.8163334462893934,6214,5902,voxel,7.280109889280518,1.114000805505323,0.7953119841531858,7.280109889280518,0.20914525399984996
case0051,myocardial_ring,0.9034142604031987,0.8238427947598254,1.0,0.22833942570701124,ok,0.9125471606849183,0.8944623553954106,10337,10546,voxel,1.0,0.22833942570701124,0.9034142604031987,1.0,0.20914525399984996
case0056,normal_myocardium,0.8266241530490235,0.704483695652174,1.4142135623730951,0.3801492114076821,ok,0.944229455952652,0.735069998227893,4393,5643,voxel,1.4142135623730951,0.3801492114076821,0.8266241530490235,1.4142135623730951,0.13940838799999256
case0056,edema,0.7967651195499297,0.6621858562244302,2.0,0.6492485119387816,ok,0.8245997088791849,0.7707482993197279,1374,1470,voxel,2.0,0.6492485119387816,0.7967651195499297,2.0,0.13940838799999256
case0056,scar,0.1815772034459907,0.09985422740524781,33.166062629910044,9.658222982094586,ok,0.10838607594936708,0.5591836734693878,1264,245,voxel,33.166062629910044,9.658222982094586,0.1815772034459907,33.166062629910044,0.13940838799999256
case0056,edema_inclusive,0.695152768205835,0.5327464788732394,27.727223197575068,3.360350509475984,ok,0.5735405610310842,0.8822157434402332,2638,1715,voxel,27.727223197575068,3.360350509475984,0.695152768205835,27.727223197575068,0.13940838799999256
case0056,myocardial_ring,0.893182292028633,0.8069822931056134,1.0,0.19459030809435407,ok,0.9139524960887498,0.873335145419951,7031,7358,voxel,1.0,0.19459030809435407,0.893182292028633,1.0,0.13940838799999256
case0061,normal_myocardium,0.700832381263261,0.5394472361809045,6.4031242374328485,0.9681631442487413,ok,0.5799567801188547,0.8853608247422681,3702,2425,voxel,6.4031242374328485,0.9681631442487413,0.700832381263261,6.4031242374328485,0.15868018799983474
case0061,edema,0.0,0.0,,,target_empty,0.0,,117,0,voxel,,,1.0,0.0,0.15868018799983474
case0061,scar,0.11989100817438691,0.06376811594202898,22.11334438749598,7.331418034372792,ok,0.7542857142857143,0.0651208682782437,175,2027,voxel,22.11334438749598,7.331418034372792,0.11989100817438691,22.11334438749598,0.15868018799983474
case0061,edema_inclusive,0.11384217335058215,0.06035665294924554,22.393076533163295,7.437150824787875,ok,0.4520547945205479,0.0651208682782437,292,2027,voxel,22.393076533163295,7.437150824787875,0.11384217335058215,22.393076533163295,0.15868018799983474
case0061,myocardial_ring,0.84252900781435,0.7279050736497545,1.0,0.35940193384261565,ok,0.8908362543815723,0.7991913746630728,3994,4452,voxel,1.0,0.35940193384261565,0.84252900781435,1.0,0.15868018799983474
case0066,normal_myocardium,0.8451278832574926,0.7317934782608696,1.0,0.30147440319383484,ok,0.8899537343027099,0.8046011353450851,6052,6694,voxel,1.0,0.30147440319383484,0.8451278832574926,1.0,0.18686336799987657
